,returns
ITOT,0.05501546244412501
DIA,0.055829118945693076
SPY,0.055821072746461614
XLG,0.05669537544027176
AIA,0.0377450417350206
GXC,0.04387528210351139
XLY,0.06697147401163955
XLE,-0.004992920251633586
XLF,0.04935486393397043
XLV,0.05854732674551809
XLI,0.04874740903669543
XLB,0.03368904774642936
XLK,0.08867305241265984
XLU,0.06367674210527668
ICLN,0.02487580737233775
CGW,0.039950794136464615
WOOD,0.03256502655561675
IYR,0.05838794957895502
