,INT,MKT,SMB,HML,RMW,CMA
ITOT,3.858510943007921e-05,0.96596920355311,-0.07751304845948613,-0.05511457717498948,-0.09842833114577412,0.08752265027754816
DIA,0.00041415545480674585,1.0125395932063872,-0.1579580409310571,0.056470164617433115,0.22898385056802795,0.2667023321666613
SPY,7.756682217156021e-05,0.9971804524717766,-0.16141143356671384,-0.015580085663656837,0.011991065282957888,0.07040171458833408
XLG,0.0003731680847958665,1.0032535341188629,-0.23942690699114544,-0.025707531295828305,0.2016265921228552,-0.22697432257786154
AIA,-0.0009573376186893798,0.6583569940546217,-0.539041824478399,0.37253293482598876,-0.1966261280935812,-0.7730764981096534
GXC,-0.0021402643806082955,0.7653021393075233,-0.4585736624953819,0.2270459713476006,-0.2288129296058021,-0.6926441068061646
XLY,3.963173463327144e-05,0.9075328860242916,-0.15875682182049716,0.03444882752226829,0.36796219186627116,-0.6084436461420425
XLE,-0.0011355730206335903,1.0911148926734795,-0.06485428647219425,0.9814345504270684,-1.0667618737107363,-0.24898327255070735
XLF,0.0008004714373452677,1.0805493636632877,0.062072535150772504,0.8900572152837183,-0.16471603458403972,-0.10102924575649141
XLV,-0.0009400872906339137,1.0023220456727195,-0.002456601761749928,-0.7663822002481183,-0.32017472695778065,1.1654933720922787
XLI,0.0001750459286403894,1.0755588955396718,0.1346406421387759,0.09651321281942866,0.287244808833657,0.49938546671426703
XLB,0.0004155954657504885,1.073414902777215,0.054532866088865775,0.04141293394506016,-0.26016075888283824,0.8971846877311329
XLK,0.0005430263678620872,1.058781572527171,-0.31251748275508057,-0.32630264855091795,0.19687415963962984,-0.669994999363069
XLU,0.0008370261991707229,0.5008383516425915,-0.8054447325392348,-0.618998949026597,0.07740814385477629,1.3480214894540192
ICLN,-8.488658716769722e-05,0.7260307579698217,-0.47082123357576583,-0.0451880936062895,-0.6854203090716345,-0.23301911622625826
CGW,0.0001713813951932758,0.7519064360752026,-0.1356038177868423,0.186597805644974,-0.26836214275183345,0.1831822246775105
WOOD,-0.0013013892601882809,0.8747009426853329,0.1930785456897043,0.3245189149493181,-0.1343254433080273,-0.06193104510039569
IYR,-0.000229065532538762,0.734367389013387,-0.3533365548224672,-0.4247740891419,0.007939715561343218,0.859356790456306
