,INT,MKT,SMB,HML,RMW,CMA
ITOT,3.231017789994662e-06,0.9669062961107907,-0.07620331181498735,-0.0566723854571787,-0.09592475415426428,0.0904510117739506
DIA,0.00036677877556329046,1.0133291880274486,-0.15653223536703761,0.055818267747426785,0.2346559597703312,0.26749662565551946
SPY,3.81962833632716e-05,0.9978965719974704,-0.16086705723367914,-0.016557734675984922,0.013324124615356045,0.07246418060338404
XLG,0.00033899617157416725,1.0045013354615202,-0.2381424685945383,-0.027308796752492214,0.20236094847889416,-0.22261321175381182
AIA,-0.0009533319894682403,0.664031870538527,-0.5302827583808957,0.3640213037943923,-0.18919266141045907,-0.7509724690250833
GXC,-0.0021608469602682344,0.7703799906326678,-0.45101421270316544,0.22257090438882335,-0.2227217869243883,-0.6779500711804637
XLY,-6.275144595138577e-06,0.9086864153143154,-0.15786121430937253,0.0329052797177064,0.3720215524956263,-0.6062594861562284
XLE,-0.0011715780283409422,1.0936258736915534,-0.06138430374052292,0.9777910844279829,-1.068904896817534,-0.23718391619213838
XLF,0.0007707921144344323,1.0804231437611516,0.06013563691342158,0.8907883298083764,-0.16514085768881936,-0.10231400718902
XLV,-0.0010097378784527473,0.9971528774530662,-0.013045819909437541,-0.7577086363727592,-0.32868610284236205,1.1408190467387438
XLI,0.00013806978614837,1.0778957950387096,0.13974361396306492,0.09160166883317386,0.29722854925792636,0.5108475798011683
XLB,0.0003886586865199901,1.0746568288012255,0.057672509515394974,0.036522929077476715,-0.2542521283991121,0.9057689264366441
XLK,0.0005151700718127694,1.0601617558954333,-0.3103946076032637,-0.32952226577858557,0.19785525404515597,-0.6610381974757481
XLU,0.0007880270116394294,0.50232501821411,-0.8005264486220545,-0.6218316211956143,0.08103471539943141,1.3536936357411742
ICLN,-6.255603430191109e-05,0.7318888122816901,-0.46190580342893367,-0.05429504165027461,-0.6827402773954153,-0.21095356287951408
CGW,0.00016528279329960276,0.7560096202395729,-0.12717871418903237,0.17654424914974678,-0.26070324082997304,0.20419754662706746
WOOD,-0.001319335580350793,0.8778841013745868,0.20081779349435835,0.3174215823077166,-0.12076106303589317,-0.05046595001363291
IYR,-0.00025185298527738117,0.7384216785651518,-0.3450343718122195,-0.4289738457538508,0.02181314516519191,0.866714085651666
