,INT,MKT,SMB,HML,RMW,CMA
ITOT,7.433970721270739e-06,0.9841254875118799,-0.03181638985654763,-0.00018166228654123754,0.03288863313858002,0.03284884456221383
DIA,-1.1994491659723907e-05,0.9889419771609648,-0.20342467212832696,0.05625042235907679,0.12146513944755327,0.16207763687591686
SPY,-3.2746375094982446e-06,0.9862535543382754,-0.12839836680523706,-0.006501651366497389,0.03533360971357974,0.039193018278520855
XLG,-2.919837719914539e-05,0.9653388449204084,-0.23235071503095564,-0.019343038791261917,0.014526252570271283,-0.11610654238874658
AIA,-0.00011072082264250987,0.9730633809440099,-0.05716590535541302,0.033550475965864184,0.04579240016732946,0.012039591818097238
GXC,-0.00017071438705778844,1.1227233822336844,-0.0387442313755923,0.04872178626440663,-0.0910680506920126,-0.1978986518947346
XLY,4.358966793099165e-05,1.0085544650770697,0.033567535931676204,-0.1555041238980674,0.2801289355268852,-0.009521637191279783
XLE,-0.0003088167356965928,1.1080868483223847,-0.05940296641542915,0.4593651151266995,-0.7660641027748071,0.905676622398072
XLF,2.7234004037683237e-05,1.0505781718508498,-0.10556249928838425,0.8525849797748805,-0.2706376125874038,-0.5054701284796947
XLV,4.4297016358347856e-05,0.9079200248874356,-0.1798832477770317,-0.43790501048793234,-0.21231658894796693,0.16515810359492736
XLI,-5.292132579260296e-05,1.0873431420264863,0.012983527437356038,0.05693807420515767,0.24627020398460142,0.3855124116083517
XLB,-0.00016531896209891488,1.0864778069310128,-0.01245567045679045,0.14717528262887636,0.055382890249258604,0.4747520965929311
XLK,0.00011147673277777589,1.0994485423837785,-0.17432062600022352,-0.17707632941411922,0.1379242982523816,-0.46976104218732
XLU,0.00021563173666440185,0.4423929243624837,-0.30352182796359956,-0.30493589563064255,0.3718159596063797,0.5832972556210666
ICLN,-0.00023508273348998767,0.9840701718773777,0.13447669912766977,-0.033395664419780445,-0.2627477107908044,0.251498156496927
CGW,1.1875142307745975e-05,0.8352502817711248,0.052589231616831586,-0.08210812317193185,0.10592008078867336,0.43626565480443436
WOOD,-3.267944300840287e-05,0.9241735814565966,0.19741946730510085,0.1145645711495404,0.19506890371939276,0.3026773004770985
IYR,0.0001741748299046861,0.6313842959308049,-3.572118153725173e-05,-0.3737319080422534,0.3337123861047008,0.576829213818555
