,INT,MKT,SMB,HML,RMW,CMA
ITOT,-2.354979403479104e-05,0.9669216064054545,-0.08224112615604298,-0.05502654383761007,-0.09367110859633519,0.0878223509820748
DIA,0.0003357123747577954,1.0010071132112215,-0.1666148823893134,0.08423876922426202,0.2327114369559082,0.23495995203069384
SPY,3.838802635128259e-05,0.9966977504432677,-0.15632827386626488,-0.019587615340102896,0.012768658702751215,0.07665281673060341
XLG,0.000282599994421689,0.9878983322966769,-0.2803510028668599,0.02880274153479627,0.18309705979565982,-0.27315885571724446
AIA,-0.0006161790546968597,0.8002380264936779,-0.38252217149647977,0.09662108058500427,-0.06471537200582005,-0.39138311099843764
GXC,-0.000650800391871655,1.0178740231637204,-0.11626105167943916,-0.2936041782849196,0.033413710577407,-0.12057211791586052
XLY,9.350679433617063e-05,0.927365880698938,-0.10065920168066872,0.012103260989407082,0.36724541688185114,-0.6006916760168061
XLE,-0.0003836269587126411,1.1225783360006434,-0.010311495917475856,0.8723927999701835,-0.9672787189825226,-0.1818326770658767
XLF,0.0005229107407071062,1.066150145907061,0.056537108441860565,0.9059876210681215,-0.18070605427669295,-0.11575290708345884
XLV,-0.0007509006277314344,1.0177339125550844,-0.039288799557489845,-0.7340663104018652,-0.3820238642339808,1.1817569732728959
XLI,5.615766084116302e-05,1.0752020810335923,0.1591654940045803,0.07700481911486938,0.3281057104617215,0.49885545788930236
XLB,0.0005461610065290183,1.0802691329080882,0.18770086621031074,-0.05019422937458202,-0.20851098499116194,0.8904891370819457
XLK,0.0001186541885971281,1.0366092202721404,-0.3359342441265331,-0.3099313317860656,0.2468589427471266,-0.6704082172713973
XLU,0.0006796965013081732,0.5199605997893632,-0.820449547914819,-0.6259989668879811,0.017942268049198115,1.4268678113431277
ICLN,0.0007972288350736962,0.8272984831925608,-0.4448151969730228,-0.14383225375942238,-0.8127793486182057,-0.1269166731089688
CGW,-7.863586060783355e-05,0.8072887259967065,-0.081116718478002,0.08409053194625923,-0.2222593766765147,0.3288935021827577
WOOD,-0.0012585584560692498,0.8869525310003235,0.21041019760162696,0.24951098425635768,-0.13536482567098326,0.010041740394955102
IYR,-0.00047103340358899977,0.7173510408774876,-0.38155374302953704,-0.36266932648265965,-0.008328453731142162,0.7739359083935353
