date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2019-01-09 00:00:00+00:00,1657327,4872006,95006554.0,28745.0,104037,83692,5162747.0,18756783.0,61037051.0,11259669.0,10036734.0,8125154.0,14022385.0,18074713.0,42002,33586,10911.0,7852443
2019-01-10 00:00:00+00:00,982709,3052249,96823923.0,25158.0,115908,49444,4759997.0,19167596.0,48630810.0,10396767.0,8900490.0,8471371.0,10934086.0,25458134.0,48766,78103,15954.0,6851688
2019-01-11 00:00:00+00:00,1840808,2047229,73858110.0,17964.0,22261,394698,3032579.0,14105948.0,44961617.0,7187901.0,10691276.0,6186215.0,7725602.0,24842487.0,116375,46223,10150.0,11308312
2019-01-14 00:00:00+00:00,5354139,2330665,70908227.0,6711.0,95581,245768,2948145.0,13191739.0,50610566.0,5448972.0,10105477.0,11503238.0,7242062.0,23489878.0,32375,27124,21614.0,4450863
2019-01-15 00:00:00+00:00,15206034,3940345,85208271.0,16108.0,101630,160467,3766806.0,9821467.0,59156475.0,10540620.0,12517456.0,7547102.0,14326996.0,27093114.0,54280,20802,29264.0,9190295
2019-01-16 00:00:00+00:00,3631888,3718529,77636710.0,100548.0,32378,63390,4493973.0,12541129.0,72982441.0,8288920.0,12029894.0,13718673.0,9468643.0,18348187.0,27932,18038,9255.0,5954902
2019-01-17 00:00:00+00:00,4069764,4108399,96118435.0,20710.0,84780,158763,4395957.0,10174827.0,55771263.0,8731630.0,22922580.0,10205511.0,10128415.0,20786010.0,31856,25361,46920.0,4806365
2019-01-18 00:00:00+00:00,3951245,5393151,127900303.0,35319.0,84513,257520,5798123.0,14531758.0,58400191.0,13367509.0,20020208.0,8757425.0,13651550.0,14154692.0,38231,38156,11716.0,6722598
2019-01-22 00:00:00+00:00,4913879,5218505,115531183.0,44859.0,64567,71745,9243681.0,19863168.0,79651742.0,12244517.0,15935259.0,7433445.0,14992512.0,16914429.0,88737,536321,28252.0,8530821
2019-01-23 00:00:00+00:00,1830395,4330334,86030287.0,21044.0,41756,66155,6104331.0,23367653.0,44072057.0,7722861.0,13243826.0,5704980.0,9576120.0,14211146.0,92433,265631,90578.0,5900369
