date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR,F,DIS,MCD,KO,PEP,JPM,AAPL,PFE,JNJ,ED
2009-11-30 00:00:00+00:00,20.3880217677,82.1016747928,89.9530757378,67.674048817,31.1455772712,59.0807007043,24.7150674844,44.7635689524,10.0422080525,25.888538692,22.4151476206,26.0288851138,18.4691549579,20.6079504253,16.4538474096,15.2151325163,30.5788915931,29.7876309125,6.1020182898,26.1906603439,47.2681487079,21.1758101213,46.3448277908,33.4053210028,24.846082425,12.5679596562,46.511502924,28.5784163075
2009-12-01 00:00:00+00:00,20.6241284806,83.0132110547,91.0658298128,68.4028587241,31.944388709,60.9231341982,25.1036691744,45.3544291551,10.0490581262,26.3442039754,22.7818076144,26.5334450406,18.7663597503,20.9957344386,16.6900999662,15.4663454913,31.4504697958,30.1718103991,6.0951543773,26.6326602372,47.4848722355,21.5015918155,47.2386528205,33.1930490171,24.4806805825,13.0383070731,47.007408509,28.8448196289
2009-12-02 00:00:00+00:00,20.6572662649,82.8943150206,91.0249197365,68.2328030791,32.1138335595,61.4144497966,25.1813895124,45.0865725299,10.0422080525,26.2851362534,22.7166236155,26.7897294479,18.7408850538,21.2796477342,16.7510683679,15.5852529661,31.6878009496,30.6177330176,6.1843852409,26.6846602246,46.707656826,21.457167039,47.7451536707,32.9650531806,24.3887086902,12.9622214616,47.2812668171,29.2577447771
2009-12-03 00:00:00+00:00,20.4584395593,82.1888652179,90.3130844091,67.8603002377,31.944388709,60.9231341982,25.0086776502,44.3617840146,9.8367058413,26.1585625636,22.6106996173,26.3572495106,18.7493766193,21.3488948794,16.7663104683,15.4161028963,31.4197804225,30.3570397945,6.1363378528,26.2859936542,46.3115758961,21.2017245743,47.0775466516,32.5483711347,24.4197802755,12.8930527238,47.4885109422,29.5507884307
2009-12-04 00:00:00+00:00,20.6034173654,82.4266572862,90.8285513703,68.1113347613,32.3558976315,61.7174277489,25.1727539193,44.0387804372,10.0216578314,26.1416860716,22.9529156115,26.0689295524,18.8682585363,21.2173253034,16.7205841671,15.5249618521,31.8023746101,31.1734212037,6.1363378528,26.7279935475,46.0275933426,21.2831699978,47.8951777199,32.8156765981,24.027035438,12.7892996171,47.6365424601,29.3376657736
2009-12-07 00:00:00+00:00,20.5661373581,82.4742156999,90.689457111,67.8764960134,32.2025096979,61.1114718443,25.2504742573,43.9363646687,9.8572560625,26.1079330877,22.8714356129,26.1009651033,18.8351414309,21.4042925956,17.2235734811,15.5835782129,31.9883112934,30.6314537135,6.115746115,26.8666601807,46.2816829957,21.4238484567,48.1802234135,32.4304422538,23.4839041279,12.4918740446,47.6439440359,29.5641085968
2009-12-08 00:00:00+00:00,20.3714528756,81.594385047,89.6830692343,67.2205670971,31.7910814634,60.1697836141,25.0604912088,43.1879417454,9.7682051043,25.905415184,22.5210716188,25.6845029415,18.6644609644,21.3142713068,16.9614093538,15.3658603013,31.5954054763,30.4462243182,6.0539709017,26.5893269143,45.2952172835,21.3535092272,47.6176332288,32.3989945522,23.5982475616,12.2843678312,47.5551251252,29.3110254414
2009-12-09 00:00:00+00:00,20.4335862211,81.9986315632,90.0185318599,67.560678387,31.8798382898,60.2107265806,25.0604912088,43.1879417454,9.8024554728,26.1248095797,22.626995617,26.0048584506,18.8427838398,21.3904431666,16.8509041257,15.3407390038,31.9004987664,30.4050622303,6.0814265521,26.6066602434,45.2877440584,21.4090401978,46.3574312152,32.3832707014,24.5838382456,12.6163777726,47.6513456118,29.424246853
2009-12-10 00:00:00+00:00,20.545426243,82.5772589295,90.5258168058,67.787419247,31.9363199066,59.9650687814,25.4490928988,43.7236549958,9.7887553254,26.3948334513,22.7247716154,25.9087517979,18.9276994948,21.660507033,16.7510683679,15.3658603013,31.5794470022,30.3158777066,6.2118408912,27.429993378,45.6240391876,21.6866950508,46.387436025,32.4461661046,24.4135659584,12.6717127629,47.9400070717,29.7372707557
2009-12-11 00:00:00+00:00,20.6406973727,83.163812698,90.9103715229,67.9736706677,32.1219023619,60.2352923605,25.6995250991,43.7472894039,9.8572560625,26.3948334513,22.9529156115,25.9808317874,18.8852416673,22.0344416173,16.7434473177,15.4495979596,31.8514776074,30.7549399771,6.1775213283,27.7805364244,46.0799059182,21.8829044803,45.9598674847,32.2024464173,24.1948219983,12.6578790153,47.9992196789,30.0902551566
