Date,return1,return2
2014-04-21,10.91322166,11.21572929
2014-04-22,10.90015595,10.97404333
2014-04-23,10.67398555,10.67592881
2014-04-24,10.80947414,10.8660366
2014-04-25,9.048418643,8.650677934
2014-04-26,8.57037739,8.404615493
2014-04-27,10.05381633,10.12301729
2014-04-28,9.022816771,8.774068333
2014-04-29,9.615141684,9.522354968
2014-04-30,9.169095786,8.965732897
2014-05-01,9.711167405,9.350895389
2014-05-02,9.153872121,8.868589587
2014-05-03,9.291614994,9.077367997
2014-05-04,9.649425497,9.604822919
2014-05-05,9.86878905,9.578100403
2014-05-06,10.60278038,10.50014152
2014-05-07,10.73105459,10.61853379
2014-05-08,8.500244308,7.996818363
2014-05-09,8.630782043,8.293290023
2014-05-10,8.85414831,8.597403976
2014-05-11,9.775431358,9.34988407
2014-05-12,11.78347455,11.73687073
2014-05-13,12.05334713,11.81108919
2014-05-14,10.9381052,10.45258926
2014-05-15,9.931002217,9.604213046
2014-05-16,9.488467865,9.067719147
2014-05-17,10.84237889,10.48395386
2014-05-18,11.59478356,11.22112605
2014-05-19,12.41108778,12.2071083
2014-05-20,10.58495355,10.03925775
2014-05-21,11.90194228,11.45545186
2014-05-22,12.16656579,11.81522068
2014-05-23,11.2054895,10.85917783
2014-05-24,11.77173624,11.50288497
2014-05-25,11.74662645,11.19298045
2014-05-26,11.62985437,11.37895545
2014-05-27,11.15671893,10.89477495
2014-05-28,12.45476851,12.10482113
2014-05-29,13.26482606,13.04806757
2014-05-30,12.4896068,12.41296143
2014-05-31,13.83888369,13.57180323
2014-06-01,13.88724197,13.51971704
2014-06-02,14.01810745,13.85997699
2014-06-03,14.28751644,13.96831312
2014-06-04,15.14108301,14.92406891
2014-06-05,15.03242238,14.57741187
2014-06-06,15.67783597,15.38696804
2014-06-07,15.16191761,14.92733883
2014-06-08,10.89813545,10.6289829
2014-06-09,13.80623816,13.84477111
2014-06-10,10.99732546,10.76383735
2014-06-11,10.51036316,10.13813368
2014-06-12,13.46041853,13.35321562
2014-06-13,13.93735172,13.84964312
2014-06-14,14.57419342,14.42031957
2014-06-15,14.5067274,14.11477062
2014-06-16,15.03086907,14.83697006
2014-06-17,9.873946797,9.714804929
2014-06-18,15.07763384,14.68563789
2014-06-19,14.94997767,14.6829452
2014-06-20,14.30182799,14.55121329
2014-06-21,14.9330093,14.76715728
2014-06-22,15.93622498,16.16638759
2014-06-23,14.88646517,14.7060464
2014-06-24,14.57321465,14.25756236
2014-06-25,16.41107503,16.36547305
2014-06-26,15.30208805,15.34347793
2014-06-27,17.53206574,17.3971403
2014-06-28,13.89832739,13.67398499
2014-06-29,14.79519518,14.61915785
2014-06-30,14.19545827,13.86884748
2014-07-01,12.95981703,12.63688433
2014-07-02,12.76003867,12.18947103
2014-07-03,16.33890399,16.30129206
2014-07-04,13.35192019,13.01111313
2014-07-05,14.33648439,14.01506721
2014-07-06,13.31242201,12.86215638
2014-07-07,15.27201695,14.83676972
2014-07-08,13.50871894,12.96125233
2014-07-09,12.98534391,12.41716838
2014-07-10,12.80998875,12.3381475
2014-07-11,14.33910714,13.75845506
2014-07-12,14.14752279,13.69458798
2014-07-13,14.19195004,13.81055762
2014-07-14,14.36733798,13.83518372
2014-07-15,15.84016198,15.17442465
2014-07-16,15.41215447,15.15012509
2014-07-17,13.96744955,13.30169946
2014-07-18,13.87868674,13.65894002
2014-07-19,13.65807028,13.43122629
2014-07-20,9.644542578,9.085849819
2014-07-21,9.818308148,9.397930135
2014-07-22,17.11170203,16.87019859
2014-07-23,14.06083816,13.8003779
2014-07-24,15.08683901,15.00602057
2014-07-25,10.11140837,9.608245577
2014-07-26,10.22708574,9.673541529
2014-07-27,9.986468315,9.38661004
2014-07-28,9.511649822,9.027789386
2014-07-29,13.77346665,13.43068432
2014-07-30,9.341543846,8.885814731
2014-07-31,11.70470218,11.12904988
2014-08-01,12.49022722,12.19617027
2014-08-02,12.23749424,11.72991687
2014-08-03,11.80825513,11.1814408
2014-08-04,11.91841252,11.38787625
2014-08-05,11.32469766,10.85054511
2014-08-06,11.18309362,10.9062993
2014-08-07,11.58753984,11.24476823
2014-08-08,11.20474143,10.86418275
2014-08-09,11.05995638,10.80907287
2014-08-10,11.83447637,11.58975249
2014-08-11,11.98431468,11.4655303
2014-08-12,12.77343063,12.41458646
2014-08-13,11.26069026,11.06931229
2014-08-14,9.299506486,9.136253545
2014-08-15,10.78523714,10.42340292
2014-08-16,11.13965311,10.7608072
2014-08-17,11.18327932,10.87716926
2014-08-18,11.42685838,10.96574765
2014-08-19,11.53326042,11.25021736
2014-08-20,11.19682591,10.80266599
2014-08-21,11.34650157,10.8166656
2014-08-22,11.02037862,10.32168291
2014-08-23,11.03674429,10.23657571
2014-08-24,11.89467649,11.29538632
2014-08-25,14.10403166,13.26188068
2014-08-26,12.68093973,11.90584581
2014-08-27,11.17752623,10.66075167
2014-08-28,11.00778522,10.40911761
2014-08-29,18.00415921,17.37174319
2014-08-30,14.60634955,14.10545359
2014-08-31,15.15170023,14.58246348
2014-09-01,16.25693221,15.77294779
2014-09-02,11.07003202,10.64229743
2014-09-03,11.93007062,11.37440364
2014-09-04,9.425122924,8.964918663
2014-09-05,13.4133059,12.86243722
2014-09-06,13.64848171,13.20918694
2014-09-07,9.230596579,8.907493032
2014-09-08,8.810252303,8.433623425
2014-09-09,8.793233305,8.414072877
2014-09-10,8.866270316,8.605366488
2014-09-11,8.905727749,8.363666647
2014-09-12,8.754065207,8.376287911
2014-09-13,8.713733775,8.147796909
2014-09-14,8.397175678,8.089872217
2014-09-15,8.31004463,7.974570013
2014-09-16,8.642414359,8.486451621
2014-09-17,8.711277168,8.434556817
2014-09-18,8.83822405,8.488667136
2014-09-19,8.796823187,8.309022491
2014-09-20,8.701105994,8.339999865
